Title,Summary,Time
"Ο Χατζηδάκης, οι εργατοπατέρες, οι εργοδότες"," Bροντοφώναξε, απευθυνόμενος στο αντίπαλο «ακροατήριο» της Βουλής, ο φιλελεύθερος υπουργός Εργασίας Κωστής Χατζηδάκης, χωρίς ντροπή και με μεγάλη ασέβεια προς την ελληνική ιστορία: «Εσείς είστε με τους...","15.06.2021, 16:00"
"Αλλαγές στα ΜΜΜ για την αυριανή απεργία, ένεκα πανελλαδικών"," Κατά τη συζήτηση στο Μονομελές Πρωτοδικείο της προσφυγής Κεραμέως, εκπρόσωποι της ΑΔΕΔΥ επιβεβαίωσαν ότι τροποποιούνται και οι κινητοποιήσεις στις αστικές συγκοινωνίες.","15.06.2021, 15:04"
Live η συζήτηση του νόμου-οδοστρωτήρα για τα εργασιακά στην Ολομέλεια ," Σφοδρά πυρά κατά της κυβέρνησης εξαπολύουν για δεύτερη μέρα οι βουλευτές σύσσωμης της αντιπολίτευσης, για πρώτη φορά σε ένα κοινό μέτωπο τη διετία Μητσοτάκη, κατά τη συζήτηση του εκτρωματικού νομοσχεδίου στην...","15.06.2021, 13:26"
Ν.Δ.: Ανακοίνωση-μνημείο κυνισμού ενάντια στην αυριανή απεργία," Απίστευτος ο κυνισμός της κυβέρνησης που επικρίνει την αυριανή απεργία, μιλά για «βασανιστήρια» πολιτών και καλεί μάλιστα τον ΣΥΡΙΖΑ και το ΚΚΕ να τοποθετηθούν απέναντι.","15.06.2021, 09:22"
Επιστροφή του ΝΑΤΟ στις... ρίζες του - Ψυχρός πόλεμος στις δαπάνες, Ψυχρός πόλεμος στις δαπάνες / Μετωπική σύγκρουση για το εργασιακό ν/σ / Noor One: Εισαγγελέας καλεί Μαρινάκη και συνεργάτες / Οι Propatria στα χνάρια της Χρυσής Αυγής / Τρίτη και φαρμακερή δίωξη για τον Δ....,"15.06.2021, 07:39"
Ανήσυχη η ΕΕΔΑ για το εργασιακό νομοσχέδιο," Αν και επί της αρχής η κύρωση της Διεθνούς Σύμβασης Εργασίας 190 για τη βία και την παρενόχληση στην εργασία αποτιμάται θετικά από την Εθνική Επιτροπή για τα Δικαιώματα του Ανθρώπου, το κείμενο που...","15.06.2021, 06:00"
Στα χαρακώματα για τον εργασιακό μεσαίωνα," Μύδροι από ΣΥΡΙΖΑ, ΚΙΝ.ΑΛΛ., ΚΚΕ, ΜέΡΑ25, Ελληνική Λύση, για κυβερνητική εμμονή σε αποτυχημένες νεοφιλελεύθερες συνταγές τύπου Θάτσερ και για προκλητική εξυπηρέτηση των συμφερόντων της εργοδοσίας.","15.06.2021, 06:00"
Ανήσυχη η Εθνική Επιτροπή για τα Δικαιώματα του Ανθρώπου για το εργασιακό νομοσχέδιο," Η Εθνική Επιτροπή εντοπίζει ασάφειες, παραλείψεις και αντιφάσεις και υπογραμμίζει ότι δεν καλύπτονται όλοι οι τομείς στους οποίους παρέχεται εργασία.","14.06.2021, 22:26"
Τσίπρας: Δεν θα αφήσουμε σε χλωρό κλαρί τον κ. Μητσοτάκη και την κυβέρνησή του, Ο πρόεδρος του ΣΥΡΙΖΑ μίλησε για γραμμάτιο σε αυτούς που στήριξαν τον κ. Μητσοτάκη και επανέλαβε ότι μια προοδευτική κυβέρνηση θα ανατρέψει το αντεργατικο ν/σ.,"14.06.2021, 20:55"
Ζεσταίνουν τις μηχανές τους τα συνδικάτα , Με 24ωρη απεργία απαντά στο αντεργατικό νομοσχέδιο Χατζηδάκη η ΑΔΕΔΥ. Στάση εργασίας αποφάσισαν ΓΣΕΕ και ΕΚΑ.,"14.06.2021, 16:12"
